,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,ORIENTSEX.BN_1,ORIENTSEX.BN_2
659,1,0.0,16.0,0.0,4,3,1.0,0.0,0.0,0.0,1.0,0,2.2,0.1599999999999999,2.125,2.0,0.609375,4.0,4.0,0.0,4.0,0.4,2.0,0,1,1,0
660,1,0.0,16.0,0.0,4,3,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,2.25,2.0,0.6875,3.4285714285714284,4.0,0.816326530612245,3.6,1.04,2.0,0,1,1,0
661,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.25,2.0,0.9375,4.0,4.0,0.0,5.0,0.0,1.0,0,1,1,0
662,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.125,2.0,0.109375,3.142857142857143,4.0,1.2653061224489797,4.8,0.1599999999999999,2.0,0,1,1,0
663,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.125,2.0,1.109375,4.0,4.0,0.0,4.6,0.24,1.0,0,1,1,0
664,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.625,2.5,1.484375,4.0,4.0,0.0,4.0,1.2,1.0,0,1,1,0
665,1,0.0,16.0,0.0,3,0,1.0,1.0,0.0,0.0,0.0,0,3.6,0.64,1.75,2.0,0.4375,3.142857142857143,3.0,0.4081632653061224,4.8,0.1599999999999999,4.0,0,1,1,0
666,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,1.36,2.0,2.0,0.75,2.142857142857143,2.0,1.2653061224489797,4.4,0.6399999999999999,1.0,1,0,1,0
667,2,0.0,15.0,0.0,4,3,1.0,0.0,0.0,0.0,0.0,0,3.8,0.1599999999999999,2.5,2.0,0.5,3.2857142857142856,4.0,1.3469387755102038,3.0,1.2,5.0,1,0,1,0
668,2,0.0,16.0,0.0,4,3,1.0,1.0,0.0,0.0,0.0,0,4.0,0.0,2.5,2.0,0.5,3.2857142857142856,4.0,1.3469387755102038,3.4,0.24,5.0,1,0,1,0
669,1,0.0,15.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0,1.8,0.16,3.25,3.0,0.1875,2.571428571428572,2.0,1.673469387755102,4.0,0.4,2.0,0,1,1,0
670,1,1.0,16.0,1.0,5,4,1.0,0.0,0.0,0.0,1.0,1,3.6,0.24,2.0,2.0,0.75,2.2857142857142856,2.0,0.7755102040816328,3.4967049425861205,0.200043429613443,3.0,0,1,1,0
671,1,0.0,16.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.0,0.8,2.625,3.0,0.234375,3.511449290894152,4.0,0.5007865175718735,4.0,0.4,1.0,0,1,1,0
672,1,0.0,17.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.25,2.0,0.4375,3.388205771643664,3.7174404015056464,0.4942563831072023,4.6,0.24,2.0,0,1,1,0
673,2,1.0,16.0,0.0,4,2,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.25,2.0,0.4375,2.571428571428572,3.0,1.959183673469388,4.2,2.560000000000001,2.0,0,1,1,0
674,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,1.8,0.56,2.75,3.0,0.9375,2.7142857142857144,3.0,0.2040816326530612,4.4,0.24,1.0,0,1,0,1
675,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.125,2.0,0.609375,3.7142857142857135,4.0,0.2040816326530612,3.6,0.64,5.0,1,0,1,0
