idx,y_victim,pred_victim,score_victim,EDAD,GENERO.BN0,GENERO.BN1,PAÍS,ETNIA.BN,ORIENTSEX.BN0,ORIENTSEX.BN1
547,1,1,0.5456885456885456,17.0,False,True,True,False,False,True
1015,1,1,0.5456885456885456,16.0,True,False,True,False,True,False
554,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
1615,1,1,0.5456885456885456,17.0,False,True,True,False,False,True
1719,0,1,0.5456885456885456,17.0,True,False,True,False,True,False
32,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
2070,1,1,0.5456885456885456,15.0,False,True,False,True,False,True
665,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
2487,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
811,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
1116,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
200,0,1,0.5456885456885456,17.0,True,False,True,True,True,False
2875,1,1,0.5456885456885456,15.0,False,True,True,False,True,False
2192,0,1,0.5456885456885456,14.0,True,False,True,False,True,False
3372,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
978,0,1,0.5456885456885456,15.0,True,False,True,False,True,False
2538,1,1,0.5456885456885456,17.0,True,False,True,False,True,False
1300,1,1,0.5456885456885456,15.0,False,True,True,True,True,False
3545,1,0,0.25101214574898784,14.0,False,True,True,False,True,False
925,1,0,0.25101214574898784,15.0,True,False,True,False,True,False
1126,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
3540,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
76,0,1,0.5456885456885456,14.0,True,False,True,True,True,False
843,0,1,0.5456885456885456,16.0,True,False,True,False,True,False
3410,0,1,0.5456885456885456,16.0,False,True,True,False,True,False
1047,0,0,0.25101214574898784,14.0,True,False,True,False,True,False
2011,0,1,0.5456885456885456,15.0,False,True,True,False,True,False
3485,0,0,0.25101214574898784,16.0,True,False,True,False,True,False
2259,0,1,0.5456885456885456,15.0,False,True,True,True,True,False
3444,1,1,0.5456885456885456,16.0,False,True,True,False,True,False
