u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,screening_score,TP,FP,TN,FN,n_seeds_ensemble
64,relu,0.3,8,relu,0.1,0.4,0.643312101910828,0.6745323254309077,0.7247191011235955,0.6243455497382199,0.31009615384615385,0.9068441064638784,0.43434343434343436,0.6732194512573138,129,287,477,49,3
64,relu,0.2,16,tanh,0.0,0.4,0.6857749469214437,0.6964012588975822,0.7134831460674157,0.6793193717277487,0.34139784946236557,0.9105263157894737,0.4618181818181818,0.672858238972944,127,245,519,51,3
32,tanh,0.2,8,tanh,0.1,0.4,0.6804670912951167,0.6931290075886817,0.7134831460674157,0.6727748691099477,0.33687002652519893,0.9097345132743363,0.45765765765765765,0.6717510064174471,127,250,514,51,3
32,relu,0.2,16,relu,0.0,0.4,0.6698513800424628,0.6865845049708806,0.7134831460674157,0.6596858638743456,0.3281653746770026,0.9081081081081082,0.4495575221238938,0.6695716407090674,127,260,504,51,3
64,relu,0.3,16,tanh,0.0,0.4,0.6857749469214437,0.6942467203953173,0.7078651685393258,0.680628272251309,0.34054054054054056,0.9090909090909091,0.45985401459854014,0.6684090161106455,126,244,520,52,3
64,relu,0.3,16,tanh,0.1,0.4,0.6602972399150743,0.6806944526148597,0.7134831460674157,0.6479057591623036,0.3207070707070707,0.9065934065934066,0.4425087108013937,0.66764779984087,127,269,495,51,3
32,tanh,0.2,16,relu,0.0,0.4,0.6815286624203821,0.6916289193481969,0.7078651685393258,0.675392670157068,0.33689839572192515,0.9084507042253521,0.45652173913043476,0.6675212414193599,126,248,516,52,3
32,relu,0.3,16,tanh,0.1,0.4,0.6549893842887473,0.6774222013059592,0.7134831460674157,0.6413612565445026,0.3167082294264339,0.9057301293900185,0.4386873920552677,0.6665934654510262,127,274,490,51,3
64,relu,0.2,8,tanh,0.1,0.4,0.6762208067940552,0.6883566680392964,0.7078651685393258,0.668848167539267,0.3324538258575198,0.9076376554174067,0.4524236983842011,0.6664223341711393,126,253,511,52,3
32,relu,0.3,16,tanh,0.0,0.4,0.6740976645435244,0.6870477675157363,0.7078651685393258,0.6662303664921466,0.33070866141732286,0.9073083778966132,0.45080500894454384,0.6659860376224076,126,255,509,52,3
64,relu,0.2,16,relu,0.1,0.4,0.6889596602972399,0.6940555326783928,0.702247191011236,0.6858638743455497,0.3424657534246575,0.9081455805892548,0.4604051565377532,0.6646307155860095,125,240,524,53,3
64,tanh,0.2,8,relu,0.0,0.45,0.6857749469214437,0.6920921818930525,0.702247191011236,0.6819371727748691,0.33967391304347827,0.9076655052264808,0.45787545787545786,0.6639588613908235,125,243,521,53,3
64,relu,0.3,8,relu,0.0,0.4,0.6825902335456475,0.6901288311077123,0.702247191011236,0.6780104712041884,0.33692722371967654,0.9071803852889667,0.4553734061930783,0.6632915223013752,125,246,518,53,3
64,relu,0.2,8,relu,0.0,0.4,0.6772823779193206,0.6868565797988118,0.702247191011236,0.6714659685863874,0.3324468085106383,0.9063604240282686,0.45126353790613716,0.6621890305186913,125,251,513,53,3
64,tanh,0.3,8,relu,0.1,0.4,0.6539278131634819,0.6746132125419142,0.7078651685393258,0.6413612565445026,0.315,0.9040590405904059,0.4359861591695502,0.6619282604859108,126,274,490,52,3
64,relu,0.2,8,tanh,0.0,0.4,0.6719745222929936,0.6835843284899112,0.702247191011236,0.6649214659685864,0.32808398950131235,0.9055258467023173,0.4472271914132379,0.6610982983559787,125,256,508,53,3
64,relu,0.3,8,tanh,0.1,0.4,0.6889596602972399,0.691900994176128,0.6966292134831461,0.68717277486911,0.3415977961432507,0.9067357512953368,0.4584103512014787,0.6601804278877529,124,239,525,54,3
32,relu,0.2,16,tanh,0.0,0.4,0.6857749469214437,0.6899376433907878,0.6966292134831461,0.6832460732984293,0.33879781420765026,0.90625,0.45588235294117646,0.6595077595371248,124,242,522,54,3
64,relu,0.3,16,relu,0.1,0.4,0.6581740976645435,0.6750764750867698,0.702247191011236,0.6479057591623036,0.31725888324873097,0.9032846715328468,0.4370629370629371,0.6583142170500922,125,269,495,53,3
32,relu,0.3,8,tanh,0.1,0.45,0.6857749469214437,0.6877831048885228,0.6910112359550562,0.6845549738219895,0.33791208791208793,0.9048442906574394,0.45387453874538747,0.6550556949374526,123,241,523,55,3
64,relu,0.2,16,tanh,0.1,0.4,0.678343949044586,0.6832019530560621,0.6910112359550562,0.675392670157068,0.33153638814016173,0.9036777583187391,0.44808743169398907,0.6535018945937678,123,248,516,55,3
64,relu,0.2,8,relu,0.1,0.4,0.6762208067940552,0.681893052532502,0.6910112359550562,0.6727748691099477,0.3297587131367292,0.9033391915641477,0.44646098003629764,0.6530623469887127,123,250,514,55,3
64,relu,0.2,16,relu,0.0,0.4,0.678343949044586,0.6810474145537972,0.6853932584269663,0.6767015706806283,0.33062330623306235,0.9022687609075044,0.4460694698354662,0.6490470944329421,122,247,517,56,3
32,tanh,0.3,8,relu,0.1,0.45,0.6794055201698513,0.6795473263133125,0.6797752808988764,0.6793193717277487,0.33060109289617484,0.9010416666666666,0.44485294117647056,0.6448122711814934,121,245,519,57,3
32,tanh,0.3,16,tanh,0.0,0.45,0.697452229299363,0.6799002882522501,0.651685393258427,0.7081151832460733,0.3421828908554572,0.8971807628524047,0.44874274661508706,0.6263781220168946,116,223,541,62,3
64,tanh,0.2,16,tanh,0.0,0.45,0.7091295116772823,0.6827901641273015,0.6404494382022472,0.725130890052356,0.35185185185185186,0.8964401294498382,0.4541832669322709,0.6200578247522186,114,210,554,64,3
