outcome,fold_id,model_label,threshold,n_components,retained_variance,train_n,test_n,train_positive_prevalence,test_positive_prevalence,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support,selected_ccp_alpha,class_weight_positive,epochs_ran,positive_class_weight
perpetration,14,compact_dnn_class_weighted,0.5,19,0.9634504304141853,3014,753,0.23490378234903783,0.2350597609561753,105,210,366,72,0.5932203389830508,0.6354166666666666,0.3333333333333333,0.8356164383561644,0.6143185028248588,0.4268292682926829,0.6254980079681275,0.6645185969868174,0.40123519629103255,177,576,753,,3.2570621468926553,20.0,
perpetration,15,compact_dnn_class_weighted,0.5,18,0.9508083291855731,3014,753,0.23490378234903783,0.2350597609561753,109,187,389,68,0.615819209039548,0.6753472222222222,0.36824324324324326,0.8512035010940919,0.6455832156308852,0.4608879492600423,0.6613545816733067,0.7054888575015693,0.43327341891133747,177,576,753,,3.2570621468926553,19.0,
perpetration,16,compact_dnn_class_weighted,0.5,18,0.9508168568674029,3013,754,0.23498174576833722,0.23474801061007958,119,323,254,58,0.672316384180791,0.44020797227036396,0.2692307692307692,0.8141025641025641,0.5562621782255774,0.38449111470113084,0.4946949602122016,0.568232333617288,0.3010851713714324,177,577,754,,3.255649717514124,13.0,
perpetration,17,compact_dnn_class_weighted,0.5,18,0.9507295321761438,3013,754,0.23498174576833722,0.23474801061007958,104,271,306,73,0.5875706214689266,0.5303292894280762,0.2773333333333333,0.8073878627968337,0.5589499554485013,0.37681159420289856,0.5437665782493368,0.5872768753243447,0.32674688768170346,177,577,754,,3.255649717514124,13.0,
perpetration,18,compact_dnn_class_weighted,0.5,19,0.9632335182333484,3014,753,0.23490378234903783,0.2350597609561753,114,165,411,63,0.6440677966101694,0.7135416666666666,0.40860215053763443,0.8670886075949367,0.678804731638418,0.5,0.6972111553784861,0.7373077526679221,0.47449607617313494,177,576,753,,3.2570621468926553,23.0,
perpetration,19,compact_dnn_class_weighted,0.5,18,0.9505969255666022,3014,753,0.23490378234903783,0.2350597609561753,107,201,375,70,0.6045197740112994,0.6510416666666666,0.3474025974025974,0.8426966292134831,0.627780720338983,0.44123711340206184,0.6401062416998672,0.6789469554300063,0.4053044694703776,177,576,753,,3.2570621468926553,17.0,
perpetration,20,compact_dnn_class_weighted,0.5,18,0.950583254869115,3014,753,0.23490378234903783,0.2350597609561753,140,400,176,37,0.7909604519774012,0.3055555555555556,0.25925925925925924,0.8262910798122066,0.5482580037664784,0.3905160390516039,0.4196547144754316,0.6199780288763339,0.3604954879122144,177,576,753,,3.2570621468926553,13.0,
perpetration,21,compact_dnn_class_weighted,0.5,18,0.9503824827318139,3013,754,0.23498174576833722,0.23474801061007958,109,243,334,68,0.615819209039548,0.5788561525129983,0.3096590909090909,0.8308457711442786,0.5973376807762731,0.4120982986767486,0.5875331564986738,0.6381145414133106,0.3541477543489521,177,577,754,,3.255649717514124,14.0,
perpetration,22,compact_dnn_class_weighted,0.5,18,0.950669900139886,3013,754,0.23498174576833722,0.23474801061007958,120,268,309,57,0.6779661016949152,0.5355285961871751,0.30927835051546393,0.8442622950819673,0.6067473489410451,0.4247787610619469,0.5689655172413793,0.6591859315179822,0.39299448429594297,177,577,754,,3.255649717514124,15.0,
perpetration,23,compact_dnn_class_weighted,0.5,18,0.9507148909503991,3014,753,0.23490378234903783,0.2350597609561753,117,221,355,60,0.6610169491525424,0.6163194444444444,0.34615384615384615,0.8554216867469879,0.6386681967984934,0.4543689320388349,0.6268260292164675,0.6875392341494038,0.3847037803652831,177,576,753,,3.2570621468926553,19.0,
