outcome,fold_id,ccp_alpha,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,roc_auc,pr_auc_average_precision,positive_support,negative_support,support
victimization,2,0.0003928853699156012,163,120,185,135,0.5469798657718121,0.6065573770491803,0.5759717314487632,0.578125,0.5767686214104962,0.5611015490533563,0.5771144278606966,0.576510067114094,0.5391698947515168,298,305,603
victimization,2,0.0003995093799480283,163,120,185,135,0.5469798657718121,0.6065573770491803,0.5759717314487632,0.578125,0.5767686214104962,0.5611015490533563,0.5771144278606966,0.5667785234899329,0.5297343264096066,298,305,603
victimization,2,0.00040261316575991807,163,120,185,135,0.5469798657718121,0.6065573770491803,0.5759717314487632,0.578125,0.5767686214104962,0.5611015490533563,0.5771144278606966,0.5660138629112114,0.5300416300697561,298,305,603
victimization,2,0.00041052254990484396,161,118,187,137,0.540268456375839,0.6131147540983607,0.5770609318996416,0.5771604938271605,0.5766916052370998,0.5580589254766032,0.5771144278606966,0.5601881395092969,0.5350704954426289,298,305,603
victimization,2,0.0005205039709795972,161,117,188,137,0.540268456375839,0.6163934426229508,0.579136690647482,0.5784615384615385,0.5783309494993949,0.5590277777777778,0.5787728026533997,0.5430685443943228,0.5169134024088683,298,305,603
victimization,2,0.0006292617817725787,159,121,184,139,0.5335570469798657,0.6032786885245902,0.5678571428571428,0.5696594427244582,0.568417867752228,0.5501730103806228,0.5688225538971807,0.5462317086588183,0.5199353481058697,298,305,603
victimization,2,0.0006710744304105304,158,119,186,140,0.5302013422818792,0.6098360655737705,0.5703971119133574,0.5705521472392638,0.5700187039278248,0.5495652173913043,0.5704809286898839,0.5458741335680493,0.5209874832907375,298,305,603
victimization,2,0.0006894874132225504,155,117,188,143,0.5201342281879194,0.6163934426229508,0.5698529411764706,0.56797583081571,0.5682638354054351,0.543859649122807,0.5688225538971807,0.5492683463527341,0.5229540257487209,298,305,603
victimization,2,0.0007082894805818001,157,119,186,141,0.5268456375838926,0.6098360655737705,0.5688405797101449,0.5688073394495413,0.5683408515788315,0.5470383275261324,0.5688225538971807,0.5484816811530422,0.5233729963512694,298,305,603
victimization,2,0.0007266249712688871,157,115,190,141,0.5268456375838926,0.6229508196721312,0.5772058823529411,0.5740181268882175,0.5748982286280119,0.5508771929824561,0.5754560530679934,0.5560897788535593,0.5368744705185381,298,305,603
victimization,2,0.0007346299515656885,158,115,190,140,0.5302013422818792,0.6229508196721312,0.5787545787545788,0.5757575757575758,0.5765760809770052,0.553415061295972,0.5771144278606966,0.5652437011772472,0.543388528656712,298,305,603
victimization,2,0.0007389440660674462,159,113,192,139,0.5335570469798657,0.6295081967213115,0.5845588235294118,0.5800604229607251,0.5815326218505886,0.5578947368421052,0.582089552238806,0.5709373968533393,0.5483973501677126,298,305,603
victimization,2,0.0007508296738968261,160,114,191,138,0.5369127516778524,0.6262295081967213,0.583941605839416,0.5805471124620061,0.5815711299372868,0.5594405594405595,0.582089552238806,0.5731763670370779,0.5507168361620021,298,305,603
victimization,2,0.0007583418127718841,164,114,191,134,0.5503355704697986,0.6262295081967213,0.5899280575539568,0.5876923076923077,0.58828253933326,0.5694444444444444,0.5887230514096186,0.5821707558587302,0.5543825607072035,298,305,603
