threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support
0.391,0.45010615711252655,0.6286766868639332,0.24474474474474475,0.9157303370786517,0.3416230366492147,0.9456521739130435,0.38625592417061616,163,503,261,15,942
0.392,0.45222929936305734,0.6299855873874933,0.24548192771084337,0.9157303370786517,0.34424083769633507,0.9460431654676259,0.38717339667458434,163,501,263,15,942
0.393,0.45222929936305734,0.6299855873874933,0.24548192771084337,0.9157303370786517,0.34424083769633507,0.9460431654676259,0.38717339667458434,163,501,263,15,942
0.394,0.45222929936305734,0.6299855873874933,0.24548192771084337,0.9157303370786517,0.34424083769633507,0.9460431654676259,0.38717339667458434,163,501,263,15,942
0.395,0.4543524416135881,0.6312944879110536,0.24622356495468278,0.9157303370786517,0.3468586387434555,0.9464285714285714,0.3880952380952381,163,499,265,15,942
0.396,0.4543524416135881,0.6312944879110536,0.24622356495468278,0.9157303370786517,0.3468586387434555,0.9464285714285714,0.3880952380952381,163,499,265,15,942
0.397,0.4564755838641189,0.6326033884346138,0.24696969696969698,0.9157303370786517,0.3494764397905759,0.9468085106382979,0.38902147971360385,163,497,267,15,942
0.398,0.4564755838641189,0.6326033884346138,0.24696969696969698,0.9157303370786517,0.3494764397905759,0.9468085106382979,0.38902147971360385,163,497,267,15,942
0.399,0.4575371549893843,0.6332578386963938,0.2473444613050076,0.9157303370786517,0.3507853403141361,0.9469964664310954,0.38948626045400236,163,496,268,15,942
0.4,0.4607218683651805,0.6352211894817342,0.24847560975609756,0.9157303370786517,0.35471204188481675,0.9475524475524476,0.3908872901678657,163,493,271,15,942
0.401,0.46284501061571126,0.6365300900052944,0.2492354740061162,0.9157303370786517,0.35732984293193715,0.9479166666666666,0.3918269230769231,163,491,273,15,942
0.402,0.46496815286624205,0.6378389905288546,0.25,0.9157303370786517,0.3599476439790576,0.9482758620689655,0.3927710843373494,163,489,275,15,942
0.403,0.46709129511677283,0.6391478910524149,0.25076923076923074,0.9157303370786517,0.362565445026178,0.9486301369863014,0.393719806763285,163,487,277,15,942
0.404,0.46709129511677283,0.6391478910524149,0.25076923076923074,0.9157303370786517,0.362565445026178,0.9486301369863014,0.393719806763285,163,487,277,15,942
0.405,0.46709129511677283,0.63699335255015,0.25,0.9101123595505618,0.36387434554973824,0.9455782312925171,0.3922518159806295,162,486,278,16,942
0.406,0.46709129511677283,0.63699335255015,0.25,0.9101123595505618,0.36387434554973824,0.9455782312925171,0.3922518159806295,162,486,278,16,942
0.407,0.46709129511677283,0.63699335255015,0.25,0.9101123595505618,0.36387434554973824,0.9455782312925171,0.3922518159806295,162,486,278,16,942
0.408,0.46709129511677283,0.6348388140478851,0.24922600619195046,0.9044943820224719,0.36518324607329844,0.9425675675675675,0.39077669902912626,161,485,279,17,942
0.409,0.4692144373673036,0.6361477145714454,0.25,0.9044943820224719,0.36780104712041883,0.9429530201342282,0.3917274939172749,161,483,281,17,942
0.41,0.470276008492569,0.6346476263309606,0.24960998439937598,0.898876404494382,0.3704188481675393,0.9401993355481728,0.3907203907203907,160,481,283,18,942
0.411,0.4723991507430998,0.6359565268545209,0.25039123630672927,0.898876404494382,0.3730366492146597,0.9405940594059405,0.3916768665850673,160,479,285,18,942
0.412,0.4745222929936306,0.6372654273780811,0.25117739403453687,0.898876404494382,0.3756544502617801,0.940983606557377,0.39263803680981596,160,477,287,18,942
0.413,0.47558386411889597,0.6379198776398611,0.25157232704402516,0.898876404494382,0.3769633507853403,0.9411764705882353,0.39312039312039315,160,476,288,18,942
0.414,0.47664543524416136,0.6385743279016413,0.25196850393700787,0.898876404494382,0.3782722513089005,0.9413680781758957,0.3936039360393604,160,475,289,18,942
0.415,0.47770700636942676,0.6392287781634214,0.25236593059936907,0.898876404494382,0.3795811518324607,0.9415584415584416,0.3940886699507389,160,474,290,18,942
0.416,0.47876857749469215,0.6398832284252015,0.2527646129541864,0.898876404494382,0.38089005235602097,0.941747572815534,0.3945745992601726,160,473,291,18,942
0.417,0.4830148619957537,0.6425010294723219,0.2543720190779014,0.898876404494382,0.38612565445026176,0.9424920127795527,0.3965303593556381,160,469,295,18,942
0.418,0.4830148619957537,0.6425010294723219,0.2543720190779014,0.898876404494382,0.38612565445026176,0.9424920127795527,0.3965303593556381,160,469,295,18,942
0.419,0.4851380042462845,0.6438099299958822,0.2551834130781499,0.898876404494382,0.3887434554973822,0.9428571428571428,0.39751552795031053,160,467,297,18,942
0.42,0.4872611464968153,0.6451188305194423,0.256,0.898876404494382,0.3913612565445026,0.943217665615142,0.3985056039850561,160,465,299,18,942
0.421,0.4883227176220807,0.6457732807812224,0.2564102564102564,0.898876404494382,0.39267015706806285,0.9433962264150944,0.399002493765586,160,464,300,18,942
0.422,0.4893842887473461,0.6464277310430026,0.2568218298555377,0.898876404494382,0.39397905759162305,0.9435736677115988,0.3995006242197254,160,463,301,18,942
0.423,0.49044585987261147,0.6470821813047827,0.2572347266881029,0.898876404494382,0.39528795811518325,0.94375,0.39999999999999997,160,462,302,18,942
0.424,0.49150743099787686,0.6477366315665627,0.2576489533011272,0.898876404494382,0.39659685863874344,0.9439252336448598,0.4005006257822277,160,461,303,18,942
0.425,0.49150743099787686,0.6455820930642979,0.2568659127625202,0.8932584269662921,0.39790575916230364,0.9411764705882353,0.39899623588456706,159,460,304,19,942
0.426,0.49256900212314225,0.6462365433260779,0.25728155339805825,0.8932584269662921,0.3992146596858639,0.941358024691358,0.39949748743718594,159,459,305,19,942
0.427,0.49363057324840764,0.6468909935878581,0.2576985413290113,0.8932584269662921,0.4005235602094241,0.9415384615384615,0.39999999999999997,159,458,306,19,942
0.428,0.49469214437367304,0.6475454438496382,0.25811688311688313,0.8932584269662921,0.4018324607329843,0.941717791411043,0.40050377833753154,159,457,307,19,942
0.429,0.49575371549893843,0.6481998941114183,0.25853658536585367,0.8932584269662921,0.4031413612565445,0.9418960244648318,0.4010088272383354,159,456,308,19,942
0.43,0.4989384288747346,0.6501632448967586,0.25980392156862747,0.8932584269662921,0.40706806282722513,0.9424242424242424,0.40253164556962023,159,453,311,19,942
0.431,0.4989384288747346,0.6501632448967586,0.25980392156862747,0.8932584269662921,0.40706806282722513,0.9424242424242424,0.40253164556962023,159,453,311,19,942
0.432,0.5,0.6508176951585387,0.2602291325695581,0.8932584269662921,0.4083769633507853,0.9425981873111783,0.403041825095057,159,452,312,19,942
0.433,0.5,0.6508176951585387,0.2602291325695581,0.8932584269662921,0.4083769633507853,0.9425981873111783,0.403041825095057,159,452,312,19,942
0.434,0.5010615711252654,0.649317606918054,0.2598684210526316,0.8876404494382022,0.4109947643979058,0.9401197604790419,0.4020356234096692,158,450,314,20,942
