outcome,threshold,prevalence,net_benefit_model,net_benefit_screen_all,net_benefit_screen_none,net_benefit_model_minus_all,net_benefit_model_minus_none,standardized_net_benefit_model
overlap,0.72,0.18895966029723993,-0.21125265392781314,-1.8965726417955715,0.0,1.6853199878677583,-0.21125265392781314,-1.1179775280898874
overlap,0.73,0.18895966029723993,-0.1910434850986868,-2.003853110010222,0.0,1.8128096249115353,-0.1910434850986868,-1.0110278818143985
overlap,0.74,0.18895966029723993,-0.18789808917197454,-2.1193859219336924,0.0,1.9314878327617178,-0.18789808917197454,-0.9943820224719101
overlap,0.75,0.18895966029723993,-0.1804670912951168,-2.24416135881104,0.0,2.063694267515923,-0.1804670912951168,-0.9550561797752809
overlap,0.76,0.18895966029723993,-0.16914366595895258,-2.3793347487615004,0.0,2.210191082802548,-0.16914366595895258,-0.8951310861423221
overlap,0.77,0.18895966029723993,-0.15812794239822764,-2.5262623465337395,0.0,2.3681344041355117,-0.15812794239822764,-0.8368343917928676
overlap,0.78,0.18895966029723993,-0.16811426365566495,-2.6865469986489097,0.0,2.5184327349932447,-0.16811426365566495,-0.8896833503575077
overlap,0.79,0.18895966029723993,-0.17672631685370543,-2.8620968557274296,0.0,2.685370538873724,-0.17672631685370543,-0.9352594970572501
overlap,0.8,0.18895966029723993,-0.16560509554140135,-3.0552016985138013,0.0,2.8895966029724,-0.16560509554140135,-0.8764044943820228
perpetration,0.01,0.2346072186836518,0.22687597846833515,0.22687597846833515,0.0,0.0,0.22687597846833515,0.9670460258695552
perpetration,0.02,0.2346072186836518,0.21898695784046102,0.21898695784046102,0.0,0.0,0.21898695784046102,0.9334195216548157
perpetration,0.03,0.2346072186836518,0.21093527699345546,0.21093527699345546,0.0,0.0,0.21093527699345546,0.8990996874562671
perpetration,0.04,0.2346072186836518,0.20271585279547064,0.20271585279547064,0.0,0.0,0.20271585279547064,0.8640648567119156
perpetration,0.05,0.2346072186836518,0.19432338808805452,0.19432338808805455,0.0,-2.7755575615628914e-17,0.19432338808805452,0.8282924505834722
perpetration,0.06,0.2346072186836518,0.18575236030175724,0.18575236030175724,0.0,0.0,0.18575236030175724,0.7917589294310196
perpetration,0.07,0.2346072186836518,0.17699700933725998,0.17699700933726,0.0,-2.7755575615628914e-17,0.17699700933725998,0.7544397411570086
perpetration,0.08,0.2346072186836518,0.16805132465614325,0.16805132465614328,0.0,-2.7755575615628914e-17,0.16805132465614325,0.7163092661813889
perpetration,0.09,0.2346072186836518,0.15890903152049649,0.1589090315204965,0.0,-2.7755575615628914e-17,0.15890903152049649,0.6773407587887226
perpetration,0.1,0.2346072186836518,0.14956357631516864,0.14956357631516867,0.0,-2.7755575615628914e-17,0.14956357631516864,0.6375062845651079
perpetration,0.11,0.2346072186836518,0.14000811088050763,0.14000811088050766,0.0,-2.7755575615628914e-17,0.14000811088050763,0.5967766536173673
perpetration,0.12,0.2346072186836518,0.13023547577687705,0.13023547577687705,0.0,0.0,0.13023547577687705,0.5551213492389963
perpetration,0.13,0.2346072186836518,0.12023818239500206,0.12023818239500207,0.0,-1.3877787807814457e-17,0.12023818239500206,0.5125084516565246
perpetration,0.14,0.2346072186836518,0.11000839381819975,0.11000839381819978,0.0,-2.7755575615628914e-17,0.11000839381819975,0.46890455645585594
perpetration,0.15,0.2346072186836518,0.09953790433370799,0.09953790433370802,0.0,-2.7755575615628914e-17,0.09953790433370799,0.42427468725046574
perpetration,0.16,0.2346072186836518,0.08881811748053783,0.08881811748053786,0.0,-2.7755575615628914e-17,0.08881811748053783,0.37858220211161375
perpetration,0.17,0.2346072186836518,0.07784002251042385,0.07784002251042385,0.0,0.0,0.07784002251042385,0.3317886932344763
