idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
1513,0,1,0.5235077638686941,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.8,0.1599999999999999,2.875,3.0,1.109375,3.0,4.0,1.7142857142857142,2.8,0.96,3.0,1,0,0,1,0,0
1519,1,0,0.3785237460403611,1,0.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.4,0.64,2.0,2.0,0.5,2.2857142857142856,2.0,0.489795918367347,2.2,1.36,1.0,1,0,0,1,0,0
1520,0,1,0.608851816863593,1,0.0,15.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.125,2.0,0.359375,2.5714285714285716,3.0,0.8163265306122449,2.6,0.64,4.0,1,0,0,1,0,0
1524,0,1,0.5489009375257204,2,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,3.125,3.0,0.359375,2.4285714285714284,2.0,0.816326530612245,3.0,2.0,1.0,1,0,0,1,0,0
1531,1,1,0.8015691470248383,2,1.0,15.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,1,1.6,1.4400000000000002,1.75,1.0,1.6875,3.142857142857143,4.0,1.8367346938775508,2.8,3.3600000000000003,1.0,0,1,0,0,1,0
1532,1,1,0.8899579488304389,1,0.0,15.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.625,3.0,1.984375,3.2857142857142856,4.0,1.0612244897959184,5.0,0.0,1.0,0,1,0,0,0,1
1541,0,0,0.2251281646537903,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.375,2.5,1.484375,3.0,3.0,0.5714285714285714,4.0,0.4,1.0,0,1,0,1,0,0
1543,0,0,0.4918456199156079,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.375,2.0,1.234375,3.7142857142857144,4.0,0.2040816326530612,3.4,0.64,2.0,1,0,0,1,0,0
1549,0,0,0.4265623029181318,1,1.0,14.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.0,1.2,2.875,4.0,2.109375,3.142857142857143,3.0,0.4081632653061224,2.8,2.56,1.0,0,1,0,1,0,0
1557,0,0,0.1195036154933253,1,1.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1,2.4,1.04,2.875,3.0,0.359375,3.7142857142857144,4.0,0.2040816326530612,4.2,0.96,2.0,0,1,0,1,0,0
1559,0,0,0.2383954310894381,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,3.0,0.4,3.0,3.0,0.25,3.2857142857142856,4.0,1.0612244897959184,4.0,0.4,1.0,0,1,0,1,0,0
1564,0,0,0.4165327582703618,2,1.0,15.0,0.0,2,2,1.0,0.0,0.0,0.0,1.0,0,2.0,0.4,2.875,3.0,0.109375,2.5714285714285716,2.0,0.5306122448979592,3.4,1.04,1.0,0,1,0,1,0,0
1565,0,0,0.226588400951153,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.4,1.04,2.25,2.0,1.4375,3.142857142857143,3.0,0.6938775510204082,2.2,2.16,1.0,0,1,0,1,0,0
