idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
3390,0,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.75,3.0,1.6875,3.7142857142857144,4.0,0.2040816326530612,4.4,0.6399999999999999,2.0,1,0,0,1,0,0
2674,1,1,0.509393451422437,1,0.0,17.0,0.0,4,3,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.875,3.0,0.609375,3.2857142857142856,3.0,0.489795918367347,2.4572001001753065,0.836127726401242,3.0,1,0,0,1,0,0
2907,1,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,1.8,1.36,2.875,3.0,0.609375,3.5714285714285716,4.0,0.5306122448979592,4.2,0.5599999999999999,1.0,0,1,0,1,0,0
728,0,1,0.509393451422437,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,0.5599999999999999,2.0,2.0,1.0,3.7142857142857144,4.0,0.2040816326530612,3.4,1.04,1.0,0,1,0,0,0,1
1729,0,1,0.509393451422437,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.8,0.96,2.125,2.0,0.359375,4.0,4.0,0.0,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
2571,1,1,0.509393451422437,1,0.0,14.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.375,2.5,0.484375,3.2857142857142856,4.0,0.7755102040816327,3.6,0.64,3.0,1,0,0,0,1,0
489,1,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,3.0,0.4,2.375,2.0,1.234375,3.7142857142857144,4.0,0.2040816326530612,4.2,0.5599999999999999,4.0,1,0,0,1,0,0
252,0,0,0.2979397781299525,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,0.64,2.125,2.0,0.609375,2.7142857142857144,4.0,2.204081632653061,1.2,0.16,4.0,1,0,0,1,0,0
2720,1,1,0.509393451422437,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.6,0.64,2.625,3.0,0.734375,4.0,4.0,0.0,4.8,0.1599999999999999,5.0,1,0,0,1,0,0
1484,0,0,0.2979397781299525,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.4,0.64,2.25,2.5,1.1875,3.4285714285714284,4.0,0.5306122448979592,4.2,2.56,3.0,0,1,0,0,1,0
3407,0,1,0.509393451422437,1,1.0,16.0,1.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.75,3.0,0.6875,2.4285714285714284,2.0,0.8163265306122449,2.8,0.5599999999999999,2.0,1,0,0,1,0,0
1720,0,1,0.509393451422437,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.125,2.0,0.359375,3.7142857142857144,4.0,0.489795918367347,4.4,0.24,2.0,1,0,0,0,1,0
1311,0,0,0.2979397781299525,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,2.625,3.0,0.734375,4.0,4.0,0.0,5.0,0.0,1.0,0,1,0,1,0,0
2171,0,1,0.509393451422437,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.5,3.0,0.75,3.7142857142857144,4.0,0.2040816326530612,4.2,0.5599999999999999,1.0,0,1,0,1,0,0
409,0,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.375,2.0,0.234375,3.0,3.0,0.8571428571428571,4.2,0.1599999999999999,1.0,0,1,0,1,0,0
1689,0,1,0.509393451422437,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,3.0,3.0,0.5,4.0,4.0,0.0,4.2,0.5599999999999999,1.0,0,1,0,1,0,0
2647,1,1,0.7824773413897281,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.0,2.875,2.5,0.859375,2.9289830690482157,3.0,0.17394085070158,4.0,0.0,2.0,0,1,0,1,0,0
1364,1,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,1,3.2,0.1599999999999999,2.625,3.0,0.734375,3.0,3.0,0.8571428571428571,3.8,0.96,3.0,1,0,0,1,0,0
2663,1,1,0.509393451422437,2,1.0,16.0,1.0,4,3,1.0,1.0,0.0,0.0,1.0,0,2.4,0.24,2.625,2.5,0.984375,2.4285714285714284,3.0,1.1020408163265307,5.0,0.0,3.0,0,1,0,1,0,0
862,1,1,0.509393451422437,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.25,2.5,0.6875,3.857142857142857,4.0,0.1224489795918367,4.2,0.96,1.0,0,1,0,1,0,0
2004,0,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,0,1.6,1.4400000000000002,2.625,2.5,0.484375,2.7142857142857144,3.0,1.346938775510204,4.2,0.5599999999999999,1.0,0,1,0,1,0,0
479,0,1,0.509393451422437,1,0.0,15.0,1.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.0,2.0,0.5,3.857142857142857,4.0,0.1224489795918367,3.8,0.5599999999999999,1.0,1,0,0,1,0,0
859,0,1,0.509393451422437,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.375,2.0,0.234375,3.0,3.0,0.5714285714285714,4.6,0.24,5.0,1,0,0,1,0,0
3667,0,0,0.2979397781299525,1,0.0,17.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0,2.4,0.24,2.625,3.0,0.734375,3.7142857142857144,4.0,0.2040816326530612,4.0,0.8,3.0,1,0,0,1,0,0
27,0,1,0.509393451422437,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,1.36,2.5,2.0,1.5,3.7142857142857144,4.0,0.2040816326530612,3.8,0.1599999999999999,2.0,1,0,0,1,0,0
2582,0,1,0.509393451422437,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,3.4,0.64,3.0,3.5,1.5,2.5714285714285716,3.0,1.959183673469388,4.8,0.1599999999999999,5.0,1,0,0,1,0,0
3517,1,1,0.509393451422437,2,1.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,3.4,0.24,2.5,2.5,1.25,3.2857142857142856,3.0,0.489795918367347,3.2,0.1599999999999999,1.0,1,0,0,0,0,1
