PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
0.63004607,0.39436275,-0.07460743,-0.034412336,0.49019024,0.27329507,0.035669375,-0.65731394,0.12983727,-0.0022534735,-0.008580093,0.006585988,-0.008472294,-0.029733459,-0.24517901,-0.31236732,0.10585058,-0.082971595,0.003555553,-0.0075642406,-0.07057995,0.19023214
0.68706334,0.32112566,0.32745144,0.681218,-0.2927499,0.30312595,-0.14045645,0.1533511,0.6820057,-0.320922,0.24669006,-0.014279499,-0.30912936,0.47660598,0.25811934,0.2615553,-0.32425308,0.15732586,0.09541698,-0.28233874,-0.018162003,0.21674131
0.7051785,0.50791955,0.037550986,-0.10547923,0.3741217,0.13722065,-0.009783728,-0.2651803,0.030629035,-0.009163625,0.012815037,0.28181553,-0.019089542,-0.020830667,-0.16311294,0.020200891,-0.07587175,-0.026956853,-0.050170418,0.13179554,-0.04238746,0.09291018
-0.8963978,-0.9717259,0.3550684,-0.058812663,-0.10654313,-0.57143205,0.31122714,-0.1973932,1.118126,-0.2402771,-0.12844317,-0.3348711,-0.2582748,-0.3368917,-0.21589558,-0.14172119,-0.16392444,0.5678839,0.19730374,0.01303224,-0.08985381,-0.10994106
-0.840681,-1.2481513,0.66206765,0.9345781,-0.5998645,-0.22122133,0.16890849,-0.14461495,0.21482904,0.44877523,-0.77299935,0.17572133,0.5851967,-0.1043096,-0.33815414,0.14669886,0.061186,0.06793453,0.13800727,0.05485047,-0.38941088,-0.055586915
-0.8215507,-0.14484037,0.110305876,-0.6070205,-0.22581081,0.13606313,0.15117796,-0.11369689,0.008901709,0.14727785,0.11276864,0.20085573,0.028746335,0.051747613,-0.2415499,-0.03155915,0.089371525,0.075177655,-0.060911775,0.021983594,-0.015523694,0.04079125
0.92235875,-1.4580873,-0.43877417,0.596258,-0.7710233,-0.18677735,0.013509075,0.021895636,0.5142709,-0.20316261,0.54801667,0.20797624,-0.48869303,0.30303374,-0.18856207,-0.055533852,-0.0029012049,-0.033294756,-0.039629035,-0.33470204,0.06898514,0.08154646
-0.706322,0.32819778,0.100009695,0.5631364,-0.16041741,0.4187938,-0.2984446,-0.10751253,-0.22707117,-0.2340557,-0.12118459,0.413786,-0.4555494,0.08200457,0.33288616,-0.23487341,0.10414395,0.17228231,0.2086638,-0.07310036,0.03373543,-0.12104802
-0.7738651,0.2684087,-0.0611245,0.7862802,-0.6015111,0.21086378,0.39250168,-0.30894503,-0.011008775,0.25542498,0.0450623,0.024250824,-0.36159512,0.16908161,-0.317143,0.031304628,-0.11300716,-0.18957306,-0.14201544,0.005928155,-0.011812642,-0.11792059
0.8751752,0.14570872,-1.0916802,-0.08697975,-0.2721214,-0.17241475,-0.32914102,0.39424133,-0.056631614,0.115019016,0.029867923,-0.005042028,-0.00080921734,-0.08770319,-0.062432542,-0.101165935,0.115193516,0.052763995,-0.08018216,-0.2380449,0.035213903,-0.07920225
-0.719137,-1.210772,0.51383835,0.81119776,-0.16229595,0.3819858,0.60991526,0.15950964,-0.51775706,-0.106501855,0.3354652,0.17139481,0.3644732,-0.24749598,-0.2568962,0.19258606,-0.4907838,-0.0014621363,-0.16522884,-0.1111517,0.14955568,-0.4415673
-0.9413379,-0.42638803,-0.018109463,-0.71592236,0.42024028,0.511412,-0.10327031,-0.31845278,0.5807594,0.3240061,-0.5970098,0.026803726,-0.079282455,-0.33480713,-0.47097182,0.030894492,-0.11155639,0.038232975,-0.034194723,-0.027684875,-0.21754529,-0.049281135
0.5833321,-0.045517832,0.37611577,-0.83634156,0.2148695,0.38107678,-0.4989869,0.00830949,-0.037258048,0.040586267,-0.0094563365,-0.075498104,0.09192801,0.11318413,0.015817089,0.0933832,0.025138702,-0.08200944,0.47683266,-0.04749692,-0.033904217,0.030473102
