u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,TP,FP,TN,FN
64,relu,0.3,8,tanh,0.05,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,tanh,0.05,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,tanh,0.05,0.25,0.19957537154989385,0.506544502617801,1.0,0.013089005235602094,0.19098712446351931,1.0,0.3207207207207207,178,754,10,0
64,relu,0.3,8,tanh,0.05,0.3,0.23779193205944799,0.5279501735396199,0.9943820224719101,0.061518324607329845,0.19798657718120805,0.9791666666666666,0.3302238805970149,177,717,47,1
64,relu,0.3,8,tanh,0.05,0.35,0.2951167728237792,0.5503632566621566,0.9606741573033708,0.1400523560209424,0.20652173913043478,0.9385964912280702,0.3399602385685885,171,657,107,7
64,relu,0.3,8,tanh,0.05,0.4,0.35774946921443734,0.5803576680981234,0.9382022471910112,0.22251308900523561,0.21944809461235218,0.9392265193370166,0.3556975505857295,167,594,170,11
64,relu,0.3,8,tanh,0.05,0.5,0.6210191082802548,0.6586343314312606,0.7191011235955056,0.5981675392670157,0.2942528735632184,0.9013806706114399,0.4176182707993475,128,307,457,50
64,relu,0.3,8,tanh,0.0,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,tanh,0.0,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,tanh,0.0,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,tanh,0.0,0.3,0.2091295116772824,0.512434554973822,1.0,0.024869109947643978,0.19284940411700974,1.0,0.32334241598546776,178,745,19,0
64,relu,0.3,8,tanh,0.0,0.35,0.2929936305732484,0.5512088946408612,0.9662921348314607,0.13612565445026178,0.20673076923076922,0.9454545454545454,0.3405940594059406,172,660,104,6
64,relu,0.3,8,tanh,0.0,0.4,0.4182590233545648,0.6090431790105301,0.9157303370786517,0.3023560209424084,0.23419540229885058,0.9390243902439024,0.37299771167048057,163,533,231,15
64,relu,0.3,8,tanh,0.0,0.5,0.638004246284501,0.6798782281310666,0.7471910112359551,0.612565445026178,0.31002331002331,0.9122807017543859,0.4382207578253707,133,296,468,45
64,relu,0.3,8,sigmoid,0.1,0.15,0.21656050955414013,0.5170157068062827,1.0,0.034031413612565446,0.1943231441048035,1.0,0.32541133455210236,178,738,26,0
64,relu,0.3,8,sigmoid,0.1,0.2,0.28768577494692144,0.5565547973410201,0.9887640449438202,0.1243455497382199,0.20828402366863905,0.979381443298969,0.34408602150537637,176,669,95,2
64,relu,0.3,8,sigmoid,0.1,0.25,0.37048832271762205,0.5989837637508089,0.9662921348314607,0.23167539267015708,0.22661396574440051,0.9672131147540983,0.3671291355389541,172,587,177,6
64,relu,0.3,8,sigmoid,0.1,0.3,0.4437367303609342,0.6355226778045767,0.9438202247191011,0.32722513089005234,0.24633431085043989,0.9615384615384616,0.39069767441860465,168,514,250,10
64,relu,0.3,8,sigmoid,0.1,0.35,0.49256900212314225,0.6397729278192835,0.8764044943820225,0.4031413612565445,0.2549019607843137,0.9333333333333333,0.3949367088607595,156,456,308,22
64,relu,0.3,8,sigmoid,0.1,0.4,0.5403397027600849,0.6498323430790046,0.8258426966292135,0.4738219895287958,0.2677595628415301,0.9211195928753181,0.40440165061898214,147,402,362,31
64,relu,0.3,8,sigmoid,0.1,0.5,0.6496815286624203,0.682768104006118,0.7359550561797753,0.6295811518324608,0.3164251207729469,0.9109848484848485,0.44256756756756754,131,283,481,47
64,relu,0.3,8,sigmoid,0.05,0.15,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,sigmoid,0.05,0.2,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,sigmoid,0.05,0.25,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,sigmoid,0.05,0.3,0.18895966029723993,0.5,1.0,0.0,0.18895966029723993,0.0,0.31785714285714284,178,764,0,0
64,relu,0.3,8,sigmoid,0.05,0.35,0.1910828025477707,0.5013089005235603,1.0,0.002617801047120419,0.18936170212765957,1.0,0.3184257602862254,178,762,2,0
