,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
997,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.8,0.5599999999999999,2.0,2.0,0.75,3.2857142857142856,4.0,1.3469387755102038,4.2,0.5599999999999999,5.0,1,0,0,1,0,0
998,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.4,0.24,2.625,2.5,0.484375,3.857142857142857,4.0,0.1224489795918367,3.6,0.24,1.0,1,0,0,1,0,0
999,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.25,2.0,1.4375,3.857142857142857,4.0,0.1224489795918367,4.4,0.24,1.0,1,0,0,1,0,0
1000,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.625,3.0,1.234375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
1001,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.625,2.5,0.484375,3.142857142857143,3.0,0.4081632653061224,4.0,0.0,1.0,0,1,0,1,0,0
1002,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,3.0,3.0,0.5,3.2857142857142856,3.0,0.489795918367347,4.0,0.8,5.0,1,0,0,1,0,0
1003,1,0.0,14.0,1.0,0,1,1.0,0.0,1.0,0.0,1.0,0,2.0,0.4,2.5,2.0,1.0,3.2857142857142856,3.0,0.489795918367347,4.2,1.36,1.0,0,1,0,1,0,0
1004,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,1.875,1.5,0.859375,3.4285714285714284,4.0,1.1020408163265307,4.2,0.5599999999999999,1.0,1,0,0,1,0,0
1005,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,2.2,0.5599999999999999,2.5,2.0,1.0,3.102491485929378,3.0,0.348741313842357,4.4,0.64,1.0,0,1,0,0,1,0
1006,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,2.0,0.4,2.5,2.0,0.5,3.2857142857142856,3.0,0.489795918367347,4.0,0.4,4.0,1,0,0,1,0,0
1007,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.0,0.8,2.125,2.0,0.359375,2.5714285714285716,2.0,1.1020408163265307,5.0,0.0,1.0,0,1,0,1,0,0
1008,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.4,1.04,2.125,2.0,1.109375,3.2857142857142856,3.0,0.489795918367347,4.6,0.6399999999999999,1.0,0,1,0,1,0,0
1009,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,0.64,2.6001628664495113,3.0,0.7697395993591444,1.8571428571428572,1.0,1.2653061224489794,4.6,0.6399999999999999,1.0,1,0,0,1,0,0
1010,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.4,0.24,3.125,3.0,0.359375,3.0,3.0,0.2857142857142857,4.0,0.4,1.0,1,0,0,1,0,0
1011,1,0.0,14.0,0.0,0,1,0.0,0.0,1.0,0.0,0.0,0,2.6,1.04,1.875,1.0,1.609375,3.7142857142857144,4.0,0.2040816326530612,4.8,0.1599999999999999,2.0,0,1,0,0,1,0
1012,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.5,2.5,1.75,4.0,4.0,0.0,5.0,0.0,1.0,1,0,0,1,0,0
1013,1,0.0,14.0,1.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,0.64,2.25,2.0,0.9375,2.4285714285714284,3.0,0.5306122448979592,5.0,0.0,2.0,0,1,0,1,0,0
1014,1,0.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.6,1.04,2.5,2.5,0.75,3.7142857142857144,4.0,0.2040816326530612,4.2,0.5599999999999999,5.0,1,0,0,1,0,0
1015,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,0.5599999999999999,2.25,2.0,1.4375,3.857142857142857,4.0,0.1224489795918367,4.4,0.6399999999999999,5.0,1,0,0,1,0,0
1016,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.25,2.0,1.4375,3.857142857142857,4.0,0.1224489795918367,4.4,0.24,1.0,1,0,0,1,0,0
1017,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,2.375,2.5,0.484375,3.5714285714285716,4.0,0.5306122448979592,3.4,1.04,4.0,1,0,0,0,0,1
1018,2,1.0,15.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,0,3.2,0.5599999999999999,2.5280172413793105,2.112068965517241,1.4774775193222354,3.7142857142857144,4.0,0.2040816326530612,2.4,2.24,1.0,0,1,0,1,0,0
1019,1,1.0,14.0,0.0,0,1,0.0,0.0,1.0,0.0,1.0,0,3.2,0.5599999999999999,2.625,3.0,0.234375,3.0,4.0,1.7142857142857142,3.2572001001753064,0.6646075661207511,1.0,0,1,0,1,0,0
1020,1,0.0,14.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.6,0.24,2.625,3.0,1.234375,3.5714285714285716,4.0,0.5306122448979592,4.6,0.24,1.0,1,0,0,1,0,0
1021,1,1.0,15.0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,1
1022,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,2.2,0.5599999999999999,3.0,3.0,0.5,2.0,2.0,0.2857142857142857,3.2967049425861203,2.5587254066478913,1.0,0,1,0,0,1,0
1023,1,0.0,14.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0,3.4,0.64,1.875,1.0,1.609375,2.5714285714285716,3.0,1.959183673469388,1.8,2.5600000000000005,1.0,1,0,0,1,0,0
1024,1,1.0,14.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,0,2.4,0.24,2.713,3.0,0.178583,3.142857142857143,4.0,1.836734693877551,3.4,0.24,1.0,0,1,0,1,0,0
1025,2,0.0,14.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.2,0.5599999999999999,2.0,1.5,1.5,3.7142857142857144,4.0,0.2040816326530612,5.0,0.0,4.0,0,1,0,0,1,0
1026,1,0.0,15.0,0.0,2,2,1.0,0.0,1.0,0.0,1.0,1,3.0,0.4,2.625,3.0,0.484375,3.857142857142857,4.0,0.1224489795918367,3.8,0.5599999999999999,1.0,0,1,0,1,0,0
1027,1,0.0,15.0,1.0,2,2,1.0,0.0,1.0,0.0,1.0,1,2.6,1.8400000000000003,3.125,4.0,1.359375,3.857142857142857,4.0,0.1224489795918367,3.8,1.36,1.0,1,0,0,1,0,0
1028,1,0.0,16.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,1,3.2,1.36,2.125,1.5,1.609375,3.5714285714285716,4.0,1.1020408163265307,5.0,0.0,1.0,0,1,0,1,0,0
1029,1,0.0,17.0,0.0,3,2,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.5,2.0,1.0,4.0,4.0,0.0,4.2,0.5599999999999999,1.0,0,1,0,1,0,0
1030,1,0.0,15.0,0.0,3,3,1.0,0.0,0.0,0.0,0.0,0,4.0,0.0,2.375,2.5,0.984375,4.0,4.0,0.0,2.0,0.8,1.0,1,0,0,1,0,0
1031,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,4.0,0.0,2.625,3.0,0.734375,4.0,4.0,0.0,3.8,2.1600000000000006,1.0,1,0,0,1,0,0
1032,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.5,3.0,0.5,4.0,4.0,0.0,4.4,0.6399999999999999,1.0,0,1,0,0,1,0
