outcome,fold_id,ccp_alpha,selected_threshold,threshold_status,tune_TP,tune_FP,tune_TN,tune_FN,tune_recall_sensitivity,tune_specificity,tune_precision_ppv,tune_npv,tune_balanced_accuracy,tune_f1_positive,tune_accuracy,tune_roc_auc,tune_pr_auc_average_precision,tune_positive_support,tune_negative_support,tune_support
victimization,1,0.0006832513900521496,0.001,target_not_met_nonzero_specificity,214.0,189.0,116.0,84.0,0.7181208053691275,0.380327868852459,0.5310173697270472,0.58,0.5492243371107932,0.6105563480741797,0.5472636815920398,0.5703377709318957,0.5300224155947195,298.0,305.0,603.0
victimization,1,0.0007033803025822598,0.001,target_not_met_nonzero_specificity,217.0,193.0,112.0,81.0,0.7281879194630873,0.36721311475409835,0.5292682926829269,0.5803108808290155,0.5477005171085928,0.612994350282486,0.5456053067993366,0.5708108702827595,0.5291760108318699,298.0,305.0,603.0
victimization,1,0.0007115563838719512,0.001,target_not_met_nonzero_specificity,219.0,198.0,107.0,79.0,0.7348993288590604,0.35081967213114756,0.5251798561151079,0.5752688172043011,0.542859500495104,0.6125874125874126,0.5406301824212272,0.5795247001870392,0.5397671718767512,298.0,305.0,603.0
victimization,1,0.0007194125980091733,0.001,target_not_met_nonzero_specificity,219.0,200.0,105.0,79.0,0.7348993288590604,0.3442622950819672,0.522673031026253,0.5706521739130435,0.5395808119705138,0.6108786610878661,0.5373134328358209,0.5783034437231819,0.5401709934345406,298.0,305.0,603.0
victimization,1,0.0007385209796960477,0.001,target_not_met_nonzero_specificity,224.0,204.0,101.0,74.0,0.7516778523489933,0.33114754098360655,0.5233644859813084,0.5771428571428572,0.5414126966663,0.6170798898071626,0.538971807628524,0.5866762020024205,0.546607828416493,298.0,305.0,603.0
victimization,1,0.0007468879668049792,0.001,target_not_met_nonzero_specificity,225.0,206.0,99.0,73.0,0.7550335570469798,0.32459016393442625,0.5220417633410673,0.5755813953488372,0.5398118604907031,0.6172839506172839,0.5373134328358209,0.5981626141489713,0.5610831995545952,298.0,305.0,603.0
victimization,1,0.0007483182700011464,0.001,target_not_met_nonzero_specificity,228.0,212.0,93.0,70.0,0.7651006711409396,0.30491803278688523,0.5181818181818182,0.5705521472392638,0.5350093519639124,0.6178861788617888,0.5323383084577115,0.6014908130707448,0.5646530280815982,298.0,305.0,603.0
victimization,1,0.0007552209656034538,0.001,target_not_met_nonzero_specificity,231.0,215.0,90.0,67.0,0.7751677852348994,0.29508196721311475,0.5179372197309418,0.5732484076433121,0.5351248762240071,0.6209677419354839,0.5323383084577115,0.6034437231818681,0.5661466238704939,298.0,305.0,603.0
victimization,1,0.000764693781080306,0.001,target_not_met_nonzero_specificity,237.0,222.0,83.0,61.0,0.7953020134228188,0.2721311475409836,0.5163398692810458,0.5763888888888888,0.5337165804819012,0.6261558784676355,0.5306799336650083,0.6085763010232148,0.5690335636668093,298.0,305.0,603.0
victimization,1,0.0007701141865899454,0.001,target_not_met_nonzero_specificity,244.0,231.0,74.0,54.0,0.8187919463087249,0.24262295081967214,0.5136842105263157,0.578125,0.5307074485641985,0.63130659767141,0.527363184079602,0.6046374738695126,0.5629963391922446,298.0,305.0,603.0
victimization,1,0.0007735130925912825,0.001,target_not_met_nonzero_specificity,247.0,236.0,69.0,51.0,0.8288590604026845,0.2262295081967213,0.5113871635610766,0.575,0.5275442842997029,0.6325224071702945,0.5240464344941956,0.6079381670150732,0.565907153199757,298.0,305.0,603.0
victimization,1,0.0007770119792765549,0.001,target_not_met_nonzero_specificity,247.0,237.0,68.0,51.0,0.8288590604026845,0.22295081967213115,0.5103305785123967,0.5714285714285714,0.5259049400374078,0.6317135549872123,0.5223880597014925,0.6048685223897019,0.5620164332351082,298.0,305.0,603.0
victimization,1,0.0007855809437088752,0.001,target_not_met_nonzero_specificity,250.0,247.0,58.0,48.0,0.8389261744966443,0.1901639344262295,0.5030181086519114,0.5471698113207547,0.514545054461437,0.6289308176100629,0.5107794361525705,0.6027285730003301,0.5616546655374604,298.0,305.0,603.0
victimization,1,0.0008312759983060288,0.001,target_not_met_nonzero_specificity,251.0,247.0,58.0,47.0,0.8422818791946308,0.1901639344262295,0.5040160642570282,0.5523809523809524,0.5162229068104301,0.6306532663316583,0.5124378109452736,0.6037187809439981,0.5600997219737427,298.0,305.0,603.0
