idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
1557,0,0.1195036154933253,4.0,1.0
1559,0,0.2383954310894381,0.0,0.0
1564,0,0.4165327582703618,0.0,0.0
1565,0,0.226588400951153,0.0,0.0
1570,0,0.4015506238920838,7.0,5.0
1577,0,0.1949863523792082,2.0,0.0
1578,0,0.3049565373726851,0.0,2.0
1586,1,0.7183956255631571,0.0,0.0
1594,1,0.5281145314619544,0.0,0.0
1604,0,0.2152214960939928,0.0,2.0
1607,0,0.3443201615961756,0.0,0.0
1609,0,0.3704370856219331,0.0,0.0
1610,0,0.1324051842531535,1.0,0.0
1613,0,0.4689282764649739,0.0,0.0
1620,0,0.1566710239767619,0.0,0.0
1627,0,0.3377101508818685,3.0,3.0
1636,0,0.4768304430500319,0.0,0.0
1645,1,0.64163285933175,0.0,0.0
1648,1,0.7362110505256841,0.0,0.0
1650,0,0.3622127906124002,0.0,1.0
1652,0,0.4796777244327695,2.0,1.0
1668,0,0.2590583077582302,2.0,3.0
1670,1,0.6273185481442862,0.0,1.0
1676,1,0.5597001780384075,0.0,1.0
1677,0,0.347447952011281,0.0,0.0
1678,1,0.5294679721630837,0.0,0.0
1681,1,0.9332924011558926,0.0,0.0
1684,1,0.5530508486837482,4.0,4.0
1690,0,0.2743995651004315,0.0,0.0
1692,0,0.3265165286757207,1.0,1.0
1694,0,0.3053828654992857,1.0,0.0
1696,1,0.6598640573325932,1.0,0.0
1699,0,0.4917901830124442,0.0,0.0
1712,0,0.1884871269316247,0.0,0.0
1716,0,0.4740199808805242,0.0,0.0
1718,0,0.4160608638902626,0.0,0.0
1724,0,0.1137126435389457,0.0,0.0
1731,1,0.7283998402720695,0.0,2.0
1732,1,0.6019528900867148,1.0,0.0
1740,0,0.4904452731620494,7.0,2.0
1741,1,0.6701441911283547,0.0,0.0
1747,1,0.5292212689068517,0.0,0.0
1748,0,0.3756845324078195,7.0,1.0
1766,0,0.3531711133408388,5.0,0.0
1770,0,0.2735365583761677,0.0,0.0
1771,0,0.3579056962731193,0.0,0.0
1772,0,0.153658056669955,9.0,3.0
1775,0,0.3095107114216001,0.0,0.0
1777,1,0.5756869928596965,0.0,0.0
1785,1,0.7392591962199343,0.0,0.0
1794,1,0.619348320407968,0.0,0.0
1805,1,0.6572424889795254,1.0,0.0
1806,1,0.5209203032107402,1.0,0.0
1809,1,0.5194567603429802,0.0,0.0
1815,1,0.9496351019377856,3.0,0.0
1816,0,0.3820204452183151,0.0,0.0
1819,1,0.9152292229975236,0.0,1.0
1821,1,0.7934199021126516,1.0,0.0
1822,1,0.5224692278736315,0.0,0.0
1829,1,0.5978004854912952,0.0,0.0
1832,1,0.5231341681722688,1.0,0.0
1833,0,0.3961572588912777,1.0,0.0
1838,1,0.8836770920900597,0.0,1.0
1841,0,0.3549666692216136,0.0,0.0
1845,1,0.6187362622215121,1.0,1.0
1852,1,0.712346491223222,1.0,0.0
1853,1,0.6944478377803853,1.0,0.0
1856,1,0.8189882490934446,0.0,0.0
1857,1,0.8850952917140728,0.0,0.0
1864,0,0.3346630396762945,0.0,1.0
1865,0,0.4166721874621156,0.0,0.0
