umap_1,umap_2,umap_3,cluster
-8.341122,4.108042,3.798768,0
16.65549,5.982105,4.702511,3
-8.327818,4.126084,3.8047645,0
-8.347236,4.103437,3.7948122,0
-8.351436,4.095757,3.7980015,0
4.326895,-4.1301026,18.683327,8
16.393162,6.4949884,3.7740831,3
14.339942,3.896702,2.8428254,3
-8.337575,4.1119876,3.7975185,0
-8.383401,4.0512776,3.7860467,0
-8.359843,4.0833354,3.797028,0
16.896067,6.159483,4.936535,3
-8.346224,4.097851,3.80021,0
-8.391525,4.0433474,3.7811015,0
23.116545,-13.797496,0.87213075,2
12.586272,15.002974,-9.147746,6
-8.366436,4.0691004,3.7968857,0
-8.38001,4.050891,3.8012054,0
-8.400351,4.0228367,3.7891853,0
16.557505,5.4220014,6.735812,3
15.258964,7.1819053,5.3900723,3
12.583448,15.005168,-9.146129,6
-8.385568,4.043689,3.7933745,0
4.3287015,-4.1264663,18.681538,8
10.0692835,-6.144844,-6.5754333,1
12.5832205,15.008107,-9.145042,6
14.236655,3.6656108,2.57912,3
23.695686,-14.860501,1.2579932,2
-8.429519,3.9901552,3.774893,0
-8.386271,4.0377183,3.7929947,0
19.0762,0.0022376992,24.130753,7
-8.420429,3.998019,3.774648,0
14.885558,7.25655,5.7206283,3
23.695541,-14.8627405,1.2592213,2
-8.449613,3.9633172,3.768675,0
16.346008,5.0285854,8.742332,3
-8.432674,3.986135,3.7705564,0
-8.471527,3.9424064,3.7638876,0
16.321348,5.604191,5.278342,3
16.838837,4.696239,4.5837717,3
16.564066,5.418842,6.7242885,3
15.981593,18.45628,7.551573,5
16.391891,5.663484,5.208644,3
23.683273,-14.838465,1.2415535,2
12.583226,15.006106,-9.1449585,6
23.14027,-13.768176,0.8958724,2
16.274872,6.4085054,3.7405207,3
23.30648,-14.073767,0.97141254,2
17.038593,6.0160027,4.7016883,3
-8.488382,3.9224396,3.75498,0
-8.467105,3.9441087,3.7558284,0
16.579962,6.301181,4.1830196,3
-8.435576,3.9781952,3.7739837,0
-8.475042,3.952554,3.7646315,0
-8.467022,3.9465756,3.7609258,0
-8.47488,3.9346707,3.7489812,0
-8.531119,3.887901,3.7155876,0
16.656296,5.9776754,4.7171555,3
18.562702,6.4746323,4.6713605,3
-8.503914,3.9090943,3.737319,0
-8.49278,3.92134,3.7403324,0
-8.49639,3.916424,3.7448394,0
10.076585,-6.1584535,-6.576245,1
12.59871,14.995482,-9.160294,6
16.498281,5.762662,5.172851,3
-8.514673,3.9023683,3.7344747,0
18.025766,6.284345,4.8013086,3
18.176046,6.371934,4.7399497,3
-8.524214,3.8904371,3.7309868,0
-8.530699,3.88663,3.7176232,0
-8.533226,3.8822348,3.7186146,0
-8.5311365,3.882861,3.7169814,0
-8.544726,3.8723848,3.7115028,0
19.072325,-0.0016492693,24.133482,7
-8.575119,3.8482888,3.6993036,0
12.598968,14.995207,-9.160716,6
-8.56023,3.8568459,3.6998932,0
23.69425,-14.861484,1.2580055,2
23.695196,-14.862013,1.2585089,2
-8.571198,3.8559446,3.6927428,0
-8.564767,3.8541815,3.7006643,0
-8.589835,3.8257585,3.682628,0
-8.598017,3.8312275,3.670976,0
-8.642365,3.8010397,3.652425,0
-8.647288,3.8069315,3.634441,0
18.967117,6.649896,4.5274577,3
-8.596974,3.830393,3.6695857,0
16.650267,6.2780633,4.2150474,3
10.078644,-6.1597285,-6.5809183,1
16.39541,6.49611,3.7759707,3
16.393585,6.4985423,3.770388,3
23.695702,-14.862758,1.2590258,2
18.135452,6.321238,4.7877836,3
10.078029,-6.160277,-6.5811687,1
-8.710069,3.7687614,3.5869827,0
-8.659862,3.7874498,3.620596,0
-8.649954,3.791013,3.6304698,0
16.345434,5.0286984,8.74299,3
-8.66086,3.7925966,3.6181276,0
-8.704288,3.7685533,3.5827007,0
15.984618,18.45804,7.5490613,5
-8.638663,3.8046732,3.633875,0
19.064314,-0.009394328,24.136131,7
17.195856,5.7175584,4.5757313,3
17.100407,5.507839,4.5985994,3
16.648447,6.275122,4.2190914,3
-8.604733,3.8240142,3.6622622,0
-8.651245,3.7975051,3.6326592,0
-8.671029,3.7847052,3.606855,0
-8.691996,3.7826493,3.590272,0
-8.75917,3.743927,3.5366426,0
-8.677558,3.7873676,3.5979483,0
16.865667,6.1447315,5.0338645,3
-8.67596,3.7899008,3.606867,0
-8.683681,3.7822452,3.5938995,0
16.654118,6.275806,4.2182746,3
-8.713571,3.7723327,3.5656078,0
25.599998,6.811672,-15.093865,4
-8.751777,3.757456,3.5332572,0
17.790375,6.3056784,4.714038,3
12.599027,14.994919,-9.161501,6
26.05078,7.268026,-15.361519,4
-8.6897545,3.7825937,3.5857165,0
14.697163,7.9825444,5.397906,3
-8.715168,3.7790906,3.5670109,0
-8.701464,3.7748413,3.582978,0
-8.714589,3.769471,3.5688899,0
16.403967,6.3369274,4.032814,3
-8.698167,3.7766542,3.5833387,0
-8.783531,3.7629216,3.5027673,0
-8.733962,3.7661805,3.549078,0
10.0788765,-6.1607833,-6.582079,1
-8.740704,3.758665,3.5460358,0
-8.745371,3.761929,3.538924,0
