strategy,n,positives,negatives,TP,FP,TN,FN,recall_sensitivity,specificity,precision_ppv,npv,balanced_accuracy,f1_positive,accuracy,fpr,fnr,auc_pr,auc_roc,victim_threshold,perp_threshold
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.95
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.96
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.97
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.98
Smart AND grid,942,178,764,0,0,764,178,0.0,1.0,,0.8110403397027601,0.5,,0.8110403397027601,0.0,1.0,0.3996067080511836,0.7213291958350492,0.01,0.99
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.01
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.02
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.03
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.04
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.05
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.06
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.07
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.08
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.09
Smart AND grid,942,178,764,178,764,0,0,1.0,0.0,0.18895966029723993,,0.5,0.3178571428571429,0.18895966029723993,1.0,0.0,0.3996067080511836,0.7213291958350492,0.02,0.1
Smart AND grid,942,178,764,178,763,1,0,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.5006544502617801,0.3181411974977658,0.19002123142250532,0.9986910994764397,0.0,0.3996067080511836,0.7213291958350492,0.02,0.11
Smart AND grid,942,178,764,178,763,1,0,1.0,0.0013089005235602095,0.1891604675876727,1.0,0.5006544502617801,0.3181411974977658,0.19002123142250532,0.9986910994764397,0.0,0.3996067080511836,0.7213291958350492,0.02,0.12
Smart AND grid,942,178,764,178,762,2,0,1.0,0.002617801047120419,0.18936170212765957,1.0,0.5013089005235603,0.31842576028622543,0.1910828025477707,0.9973821989528796,0.0,0.3996067080511836,0.7213291958350492,0.02,0.13
Smart AND grid,942,178,764,178,760,4,0,1.0,0.005235602094240838,0.18976545842217485,1.0,0.5026178010471204,0.31899641577060933,0.1932059447983015,0.9947643979057592,0.0,0.3996067080511836,0.7213291958350492,0.02,0.14
Smart AND grid,942,178,764,178,758,6,0,1.0,0.007853403141361256,0.19017094017094016,1.0,0.5039267015706806,0.31956912028725315,0.19532908704883228,0.9921465968586387,0.0,0.3996067080511836,0.7213291958350492,0.02,0.15
Smart AND grid,942,178,764,178,754,10,0,1.0,0.013089005235602094,0.19098712446351931,1.0,0.506544502617801,0.3207207207207207,0.19957537154989385,0.9869109947643979,0.0,0.3996067080511836,0.7213291958350492,0.02,0.16
Smart AND grid,942,178,764,178,748,16,0,1.0,0.020942408376963352,0.19222462203023757,1.0,0.5104712041884817,0.322463768115942,0.2059447983014862,0.9790575916230366,0.0,0.3996067080511836,0.7213291958350492,0.02,0.17
