umap_1,umap_2,umap_3,cluster
16.960373,0.030125447,-0.61630595,0
16.965385,0.030683063,-0.6199154,0
16.969698,0.031161563,-0.62260044,0
16.968245,0.028410051,-0.6326103,0
16.978636,0.032681312,-0.62796265,0
-34.289337,-8.104871,-1.8137738,2
-34.31356,-8.117446,-1.8162546,2
16.983961,0.034072787,-0.6305261,0
16.98723,0.03432761,-0.63320076,0
16.99249,0.03580036,-0.63788664,0
-13.313241,1.4363413,-10.146742,3
16.997921,0.036993556,-0.64161557,0
16.837618,-0.05867053,-0.73309517,0
16.999693,0.036913827,-0.6492107,0
17.006155,0.03768533,-0.65351623,0
